arquivo,data_raw
md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,
md_ptd_temp_copia_tarjada.pdf,
mda-anexo-entregas-assinado_ptd-2025-2027-copia-tarjada.pdf,30/04/2025
mda-documento-diretivo-assinado_ptd-2025-207-copia-tarjada.pdf,
mdhc_ptd_2025_2027_anexoentregas_assinado_assinado_assinado-copia_tarjada.pdf,
mdhc_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,
mdic_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-1-copia_tarjada.pdf,05/01/2025
mec_ptd_anexo-de-entregas_sei_mec-5576401_copia_tarjada.pdf,
mec_ptd_docdiretivo-versao-comunicacao_copia_tarjada.pdf,
mec_ptd_docdiretivo_2025-2026_sei_mec-5566673_copia_tarjada.pdf,
memp_ptd_2025_2026_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,
memp_ptd_2025_2026_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,
mesp_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,
mesp_ptd_2025_2027_docdiretivo_assinado_assinado_29_assinado-copia_tarjada.pdf,
mf_ptd_2026_2027_anexo_de_entregas_1_mf_se_assinado_assinado_assinado_assinado.pdf,
mf_ptd_2026_2027_anexo_de_entregas_2_mf_rfb_assinado_assinado_assinado_assinado.pdf,30/04/2026
mf_ptd_2026_2027_anexo_de_entregas_3_mf_stn_assinado_assinado_assinado_assinado.pdf,30/06/2026
mf_ptd_2026_2027_anexo_de_entregas_4_mf_pgfn_assinado_assinado_assinado_assinado.pdf,30/12/2026
mf_ptd_2026_2027_documentodiretivo_assinado_assinado_assinado_tarjado.pdf,
mgi_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado.pdf,31/07/2026
mgi_ptd_2025_2027_docdiretivo_assinado_assinado_assinado_pdf_tarjado.pdf,
minc_ptd_2025_2027_anexo_de_entregas_assinado-1_assinado_assinado-copia_tarjada.pdf,
minc_ptd_2025_2027_docdiretivo_assinado-1_assinado_assinado-copia_tarjada.pdf,
mjsp_ptd_anexo_de_entregas_assinado_v1_assinado_assinado-copia_tarjada.pdf,01/07/2025
mjsp_ptd_docdiretivo_assinado_2025_2026_assinado_assinado-copia_tarjada.pdf,
mma_ptd_anexo_de_entregas_aprovado_final_assinado_assinado-copia_tarjada.pdf,
mma_ptd_docdiretivo_assinado_2025_2026-1_assinado_assinado-copia_tarjada.pdf,
mme_ptd_2025_2027_anexo_de_entregas_assinado__1_-copia_tarjada.pdf,
mme_ptd_2025_2027_docdiretivo_assinado-copia_tarjada.pdf,
