url,filename,tipo,contexto
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anpd_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,anpd_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,diretivo,Plano de Transformação Digital ANPD : Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anpd_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,anpd_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,entregas,Plano de Transformação Digital ANPD : Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ans-plano_de_transformacao_digital_assinado-copia_tarjada.pdf,ans-plano_de_transformacao_digital_assinado-copia_tarjada.pdf,diretivo,Plano de Transformação Digital ANS : Documento Diretivo vigente / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ans_ptd_2025_2026_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,ans_ptd_2025_2026_anexo_de_entregas_assinado_assinado_assinado-copia_tarjada.pdf,entregas,Plano de Transformação Digital ANS : Documento Diretivo vigente / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/antaq_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,antaq_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,diretivo,Plano de Transformação Digital ANTAQ: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/antaq_ptd_2025_2027_anexoentregas_assinado_assinado_assinado-copia_tarjada.pdf,antaq_ptd_2025_2027_anexoentregas_assinado_assinado_assinado-copia_tarjada.pdf,entregas,Plano de Transformação Digital ANTAQ: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mt_anexo_de_entregas_-_assinado_assinado_assinado_copia_tarjada.pdf,mt_anexo_de_entregas_-_assinado_assinado_assinado_copia_tarjada.pdf,entregas,Plano de Transformação Digital MT / ANTT / DNIT: Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anvisa_ptd_docdiretivo_2025-2026_assinado_assinado_assinado-copia_tarjada.pdf,anvisa_ptd_docdiretivo_2025-2026_assinado_assinado_assinado-copia_tarjada.pdf,diretivo,Plano de Transformação Digital ANVISA: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/anvisa_ptd_anexo_de_entregas_2025_2026_assinado_assinado_assinado-copia_tarjada.pdf,anvisa_ptd_anexo_de_entregas_2025_2026_assinado_assinado_assinado-copia_tarjada.pdf,entregas,Plano de Transformação Digital ANVISA: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/bcb_documento_diretivo_assinado_assinado_assinado-copia_tarjada.pdf,bcb_documento_diretivo_assinado_assinado_assinado-copia_tarjada.pdf,diretivo,Plano de Transformação Digital BCB: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/bcb_anexo_de_entregas_ptd_25_26-1_assinado_assinado_copia_tarjada.pdf,bcb_anexo_de_entregas_ptd_25_26-1_assinado_assinado_copia_tarjada.pdf,entregas,Plano de Transformação Digital BCB: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cade_ptd_docdiretivo_2025_2026_assinado-2_assinado_assinado-copia_tarjada.pdf,cade_ptd_docdiretivo_2025_2026_assinado-2_assinado_assinado-copia_tarjada.pdf,diretivo,Plano de Transformação Digital CADE: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cade_ptd_anexo_de_entregas_2025_2026_assinado_copia_tarjada.pdf,cade_ptd_anexo_de_entregas_2025_2026_assinado_copia_tarjada.pdf,entregas,Plano de Transformação Digital CADE: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_docdiretivo_2025-2026_sei_mec-5566673_copia_tarjada.pdf,mec_ptd_docdiretivo_2025-2026_sei_mec-5566673_copia_tarjada.pdf,diretivo,Plano de Transformação Digital MEC / CAPES / EBSERH / FNDE /  FUNDAJ / IBC / INEP / INES: Documento 
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_anexo-de-entregas_sei_mec-5576401_copia_tarjada.pdf,mec_ptd_anexo-de-entregas_sei_mec-5576401_copia_tarjada.pdf,entregas,Plano de Transformação Digital MEC / CAPES / EBSERH / FNDE /  FUNDAJ / IBC / INEP / INES: Documento 
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/mec_ptd_docdiretivo-versao-comunicacao_copia_tarjada.pdf,mec_ptd_docdiretivo-versao-comunicacao_copia_tarjada.pdf,diretivo,Plano de Transformação Digital MEC / CAPES / EBSERH / FNDE /  FUNDAJ / IBC / INEP / INES: Documento 
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado_tarjado.pdf,entregas,Plano de Transformação Digital MD / CEX / CM / COMAER / CENSIPAM / FOSORIO / HFA: Documento Diretivo
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado.pdf,md_ptd_2026_2027_anexo_de_entregas_assinado_assinado_assinado.pdf,entregas,Plano de Transformação Digital MD / CEX / CM / COMAER / CENSIPAM / FOSORIO / HFA: Documento Diretivo
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/md_ptd_temp_copia_tarjada.pdf,md_ptd_temp_copia_tarjada.pdf,desconhecido,Plano de Transformação Digital MD / CEX / CM / COMAER / CENSIPAM / FOSORIO / HFA: Documento Diretivo
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cgu_ptd_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,cgu_ptd_docdiretivo_assinado_assinado_assinado-copia_tarjada.pdf,diretivo,Plano de Transformação Digital CGU: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cgu_ptd_anexo_de_entregas_pactuadas_assinado_assinado_assinado-copia_tarjada.pdf,cgu_ptd_anexo_de_entregas_pactuadas_assinado_assinado_assinado-copia_tarjada.pdf,entregas,Plano de Transformação Digital CGU: Documento Diretivo / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cnpq_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-1-1.pdf,cnpq_ptd_2025_2027_docdiretivo_assinado_assinado_assinado-1-1.pdf,diretivo,Plano de Transformação Digital CNPQ: Documento Diretivo vigente / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/cnpq_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-1.pdf,cnpq_ptd_2025_2027_anexo_de_entregas_assinado_assinado_assinado-1.pdf,entregas,Plano de Transformação Digital CNPQ: Documento Diretivo vigente / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/coaf_ptd_2025_2026_documento_diretivo_assinado_assinado-copia_tarjada.pdf,coaf_ptd_2025_2026_documento_diretivo_assinado_assinado-copia_tarjada.pdf,diretivo,Plano de Transformação Digital COAF: Documento Diretivo vigente / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/coaf_ptd_2025_2026_anexo_de_entregas-2_assinado_assinado-copia_tarjada.pdf,coaf_ptd_2025_2026_anexo_de_entregas-2_assinado_assinado-copia_tarjada.pdf,entregas,Plano de Transformação Digital COAF: Documento Diretivo vigente / Anexo de Entregas vigente
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ptd_midr-docdiretivo_aprovado_assinado_tarjado.pdf,ptd_midr-docdiretivo_aprovado_assinado_tarjado.pdf,diretivo,Plano de Transformação Digital MIDR / CODEVASF / SUDAM / SUDECO / SUDENE: Documento Diretivo / Anexo
https://www.gov.br/governodigital/pt-br/estrategias-e-governanca-digital/planos-de-transformacao-digital/ptds-vigentes/ptd_midr_-_anexo_de_entregas_-_aprovado_assinado.pdf,ptd_midr_-_anexo_de_entregas_-_aprovado_assinado.pdf,entregas,Plano de Transformação Digital MIDR / CODEVASF / SUDAM / SUDECO / SUDENE: Documento Diretivo / Anexo
